紧邻万达广场 茗筑美嘉 盛世花城 新生活家园 地暖双气 月付,3室2厅1卫,合租 - 主卧,20,南,中层 / 26层,高新,茗筑美嘉,高新国际会展中心 - 康虹路769号,886,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",首先承诺！！！我们不是中介，没有中介费，租房找我，价格500到1500都有，尽心满足您的所有租房要求！房源优势：押一付一，三个月起租，价格优惠。南向主卧，带阳台，精装修，空间大，照片真实价格，包物业、宽带、水电、保洁，一户一表，用电量APP可查，电费清晰，无杂费，不乱收费用，无中介费。1、精装修，实惠单间，价格美丽。2、免费看房用我们的耐心满足挑剔的您。3、在租房源，多为成熟小区，附近交通便利，生活设施齐全，超市、菜市场、夜市附近都有满足您的生活、娱乐要求。4、当然，我们对租客也是有要求的，禁止养宠物，没有正当职业的人不租，让你的合租生活’更加的贴心舒适。5、每固定时间，公区保洁，房间干净卫生，居住空间合理、采光好，满足挑剔的您。6、无线WIFI、智能家电、空调、洗衣机、24热水器，居住起来更加的舒适便捷。7、多套房源可供选择，我们在力高国际、泰悦赫府、保利华庭、丰奥嘉园、茗筑美嘉、翡翠大观、盛景家园、新馨家园、贤文花园、徐家庄、大地锐城、新龙家园、逸东花园、富翔天地、凯旋花园、辛甸花园、七里堡小区、保利海德公馆、盛世花城、万达华府、新生活家园、杏林苑、祝甸东方花园、环东佳苑、锦绣泉城、鑫苑鑫、上海花园、七里河小区，等多个小区都有合租房源满足您的租住要求。8、多间空置在租价格300—1800都有，无看房费，无中介费！！！需要的请联系我！！！
高新万达旁，牛旺小区，3户合租，有电梯，美莲广场，未来城旁,3室1厅1卫,合租 - 主卧 - 男女不限,30,南,中层 / 18层,高新,牛旺庄小区,高新国际会展中心 - 沁园路1599号,700,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '衣柜', '暖气', '宽带', '可做饭', '阳台']",.不说装修多好，至少干净卫生，清净明亮。2.不像别的房居住人多且杂，合租五六间甚至更多，品牌只为专属的你。3.小区*，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.公司自己的房子，不是骗人，真的不收*。5.服务周到，带你看遍济南商圈所有*，相信我，成就你。6.无线宽带、衣柜、大床、电脑桌、晾衣架、空调、24*热水器、暖气、冰箱、洗衣机、全套厨房可做饭房屋亮点押一付一精装修1.精装拎包入住标配床衣柜电脑桌空调洗衣机热水器WiFi全覆盖2.随时看房3.公寓的公共区及卫生间每周保洁无垃圾死角舒适干净4.配备专业的后勤维修与保洁队伍，免去您的后顾之忧出租范围：万达华府、盛世花城、未来城、鑫苑国际、明湖白鹭郡、明湖太学院、牛旺庄、聚鑫旺园、新生活家园、会展中心、海信贤文世家、山钢新天地、中垠雅苑、中海天悦府、燕山新居、绿地IFC、现代逸城、雁翔苑、百花郡、华丰居、名士豪庭、窑头小区、高速花园、富翔天地、中铁逸都国际、北湖、万科金域华府、恒大奥东新都、东城花园、徐家庄、殷陈小区、中建新悦城、恒大城、东都尚城、龙翔华府、盛景家园、盛福家园、尚品燕园、七里河小区、玫瑰花园、百花小区、百花郡、祥泰森林河湾、淮海东城御景交通干线：工业南路、经十路、花园东路、奥体中路、奥体西路、奥体东路、奥体北路、旅游路、凤凰路、舜华路、舜风路、天辰路、康虹路、铁骑路、世纪大道、凤园路、龙鼎大道、会展路、新泺大街、天泺路、浪潮路、伯乐路、舜泰北路、凤鸣路、凤岐路、工业北路、飞跃大道、颖秀路、沁园路、舜旺路、会展东路、会展西路、金达路、华茂路、龙奥北路、龙奥南路、凤新路、华盛路、百合东路、老石沟路、龙驰路、重德路、礼耕路、齐川路、正丰路、轻风路、中林路、八涧堡东路、八涧堡路、炼化路、凤山路
鲁商凤凰广场药谷博科水发集团企业公馆唐冶中路鲁商凤凰城单间,3室2厅2卫,合租 - 次卧,25,南,低层 / 34层,历城,鲁商凤凰广场,历城唐冶 - 唐冶中路,650,无,"['热水器', '洗衣机', '沙发', '宽带', '可做饭']",房屋推荐特点：龒、户型特点：中高层、户型方正、采光视野好，适宜居住。龤、室内精装修，拎包入住，宽敞大方，使用率高；卧室温馨舒适，搭配心怡，厨房设施齐全。驋、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。餼、小区地理位置好，位于商业圈，交通便利，出小区就是站牌，小区周边配套设施齐全，银行、超市、菜市、学校、医院、商务会所，应有尽有。小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！
精装大两室家具家电齐全 拎包入住 紧邻欧亚大观和谐广场,2室1厅1卫,整租,89,南北,中层 / 33层,槐荫,阳光100国际新城T区,槐荫阳光100 - 建新路,2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",生活设施配套齐全人文素质极高封闭式小区人身安全有保障
政府宿舍(姚家)出租精装修  附近山东省武术院 齐鲁工业大学,3室1厅1卫,整租,85.31,南北,高层 / 6层,历下,政府宿舍(姚家),历下姚家 - 解放东路83号,2199,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",【格局】3室1厅1卫，采光好，视野无遮挡。【价格】租金2199元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：18路、62路、504路、k53路（武警医院站），18路、504路、62路、k53路（姚家小区站），306路、k145路、152路、202路工作日高峰车、119路、k160路、brt5路、k139路、115路、326路、504路（华洋名苑站）大学：审计学校、环保学校、建筑工程学校、山东大学南校区、山东经济学院、山东旅游学院、山东政法学院商场：银座燕山店、万嘉隆购物广场、燕山小商品市场、统一银座、甸柳吉祥商业街医院：妇产医院、省中医药研究附属医院、甲状腺疾病防治中心、武警总队医院、省立医院东院邮局：开元邮电支局、姚家邮电支局银行：农村信用社、农业银行、中国银行、建设银行、工商银行、中兴银行、齐鲁银行、兴业银行、渤海银行其他：世纪人和商务酒店、富雅大酒店、聚福林海鲜城、威海海鲜城、巴山蜀乡小区内部配套：小区内有免费停车位、娱乐健身设施、小餐馆、便利店
东山墅 精装修 189平 4室2厅2卫 价格可议,4室2厅2卫,整租,189,南北,低层 / 6层,历下,东山墅,历下历下周边 - 旅游路7号,6000,无,"['空调', '热水器', '衣柜', '暖气', '可做饭', '阳台']",1.四室两厅两卫2.房屋干净整洁，光照充足，可直接拎包入住。3.房屋精装修，厨房可做饭，4.随时入住
新出中海天悦府精装两室 就一套 速度联系 美莲软件园丁豪银荷,2室2厅1卫,整租,90,南北,低层 / 24层,高新,中海天悦府(北区),高新齐鲁软件园 - 舜风路700号,3000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",龒.房源真实，南北通透，房屋宽敞，干净卫生，采光好，视野棒。免费wifi，家具家电等基本设施齐全，随时拎包入住，给您一个方便温馨舒适的居住环境。驋.房屋人员问题：为了营造干净、温馨、和谐、安全的居住环境，租客都是有素质的上班族，公司绝不租给不三不四，生活无规律，无正当职业，大吵大闹的租客。餼，可押一付一或押一付三，付-款方式灵活，解决您的资金紧张问题。龤.免费保洁，免费维修家具家电，配有专业维修后勤团队，免去生活烦恼。閏.小区介绍：地处成熟商圈，周围菜市场，超市，饭店，小吃街，银行，娱乐场所等生活设施一应俱全。小区绿化环境好，保安驋龤巡逻，居住安全可靠。服务保障：龒.入住安全放心有保障。驋.公共区域定期保洁，居住环境好。餼.我们在济南各地均有房源，只要您一个电话，我们风里雨里免费带您看房。让您在这个城市找到一个属于自己的温馨小窝。更多房源等你来挑
双气齐全！和谐佳苑 和谐广场 银座写字楼 连城广场 无中芥,3室2厅2卫,合租 - 主卧,25,南,中层 / 22层,槐荫,和谐佳苑,槐荫和谐广场 - 阳光新路,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1.小区周边配套丰富，饭店，超市，生活十分便利！地理位置优越交通便利，多路公交经过家门口，附近公交车交通便捷！2.家里有床、衣柜，桌子椅子，空调等家具一应俱全3.有厨房，可以做饭4.房源价格低廉5免费上门维修6.客服定期检查卫生，排除电路水路等安全隐患7.租赁期间如有各项问题，我们客服为您排解解难协调调解重要的是无-中-介-费！！！温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租若您觉得此房源不能满足您的需求，本人拥有区域所有在租房源，欢迎点击我的主页，里面有更多的真实照片及价格的房源供您挑选，直到您满意
新上房源 南向 真实在租 业主急租年前租出去 价格低 户型好,2室1厅1卫,整租,75,南,中层 / 31层,高新,汇展香格里拉,高新国际会展中心 - 新宇路1号,1750,距离地铁R3号线丁家庄站1984米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","房屋介绍一、房屋基本信息：1、楼盘名称：汇展香格里拉2、房屋性质:住宅3、装修情况:精装修、客厅瓷砖,卧室瓷砖4、配套情况：各种家电一应俱全，拎包即可入住。5、腾房情况：房屋现在空置,干净整洁，随时入住。二、小区配套：1、附近万达广场、银座超市、菜市场等生活便利。2、交通方便：多路公交直达三、个人介绍:本人从事房地产行业多年,主高新商圈，对周边房源均有了解。如果您有任何房产方面的需求,欢迎致电,我将竭诚为您服务。"
东方天澍花园精装两室家具齐全，拎包入住，毗邻CBD，辅仁小学,2室2厅1卫,整租,90,南,高层 / 24层,历下,东方天澍花园,历下浆水泉路 - 洪山路1号,4000,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气']",增加start房屋亮点防疫服务特殊展示带hover配套齐全精装修有阳台随时看房出租要求一年起租房源描述房子位于经十路以南旅游路以北洪山路！交通便利！生活丰富！1、小区物业：治安好，环境好，干净整洁卫生，风景这边独好；2、生活方便：附近就有早市、下井菜市场、满足您基本的生活需求，附近紧靠银座商城、华联超市、大润发等；3、上学方便：山大辅仁、山东财经大学燕山校区；4、交通方便：附近就有公交站牌，出行方便；6、周边配套：银行有建设银行，中国银行，中国农业银行，邮政，医院有武警医院，山东妇产医院等；7、房子楼层：房间精装修，
省立医院西CBD精装两室中国铁建国际城燕山新居奥体西路,2室2厅1卫,整租,96,南,高层 / 30层,历下,中国铁建国际城,历下解放东路 - 奥体西路北段2666号,3300,距离地铁R3号线礼耕路站582米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1、楼盘名称：中国铁建国际城2、房屋性质：住宅3、装修情况：精装修、客厅、卧室地板4、配套情况：床、冰箱、洗衣机等家具齐全5、物业费用：1.8元带电梯6、腾房情况：房屋现在空置，干净整洁，拎包入住7、看房时间：随时看房二：小区配套：1、附近万达广场、银座超市、菜市场等生活便利2、交通方便：多路公交直达3、多所幼儿园解决入托问题，接送方便
山大路172号院出租精装 附近华强广场 银座数码广场拎包入住,3室1厅1卫,合租 - 主卧,25,南北,高层 / 6层,历下,山大路172号院,历下泉城路 - 山大路172号,999,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","【格局】山大路172号院出租主卧3室1厅1卫，采光好，视野无遮挡。【价格】租金999元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：70路,k55路(舜怡佳园站)；113路,165路,37路,3路,45路,507路,79路,83路,8路,brt2路,brt3路,k53路,k55路,k91路(东仓站)；112路,16路,1路,48路(山大路山大南路站)大学：山东大学、铁道职业技术学院山东大学、山东师范大学、山东教育学院、山东建筑大学、商职、法官学院商场：银座商场、大润发、数码港、百脑汇、家乐福、银座数码广场、华强商城医院：中心医院、荣军医院、济南医院、济南胸科医院邮局：山大路邮电局、山大南路邮电局银行：工商银行、中国银行、农业银行、建设银行、商业银行、民生银行其他：泉城广场、洪楼广场、大明湖、百花公园小区内部配套：停车位、便利店、小餐馆、娱乐健身设施"
新出~七里河华能路~精装两室~南北通透~家具家底齐全~领包住,2室2厅1卫,整租,95,南北,高层 / 6层,历城,七里河小区,历城七里河 - 七里河路,1650,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
自己房子出租紧邻汉峪金谷舜泰广场小公寓便宜租,1室1厅1卫,整租,26,南,中层 / 32层,高新,中铁奥体26方,高新汉峪 - 凤凰南路,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、户型特点：中高层、户型方正、采光视野好，适宜居住.2价格就是这个价格，不要拿网上其他价格比，我标价就是外面正常租的价格出门在外租房找个靠谱点的比什么都合适
林景山庄 一室整租  低楼层 实图 暖气已开通,1室1厅1卫,整租,45,南,低层 / 6层,高新,普利林景山庄,高新经十路高新段 - 经十东路3366号,1500,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱电脑桌沙发茶几空调洗衣机热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
万达附近 万达华府 盛世华城  价格可谈,3室2厅1卫,合租 - 次卧,22,南,低层 / 30层,高新,万达华府,高新国际会展中心 - 工业南路,780,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",为年轻人打造理想租房生活也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....房源优势：1.不说装修多好，至少干净卫生，清净明亮。2.不像*房居住人多且杂，合租四间多，品牌只为专属的你。3.小区*，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4·我们在济南各个地方都有房源随时联系
中国铁建国际城 CBD 鲁商国奥城 省立医院东园,3室2厅1卫,整租,108,南,中层 / 11层,高新,燕山新居,高新奥体中路 - 奥体中路,4100,距离地铁R3号线礼耕路站792米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.小区，园林环境绿化很好2.紧靠奥体中心，出入方便有公交地铁。3.医疗条件好紧邻省立东院
中海国际！精装公寓！家电齐全！拎包入住！,1室1厅1卫,整租,38,南北,中层 / 31层,市中,中海国际社区中海国际公馆,市中鲁能领秀城 - 九曲庄路,1000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",有些图片看起来没那么精美，但这些全部为真实照片。我不会用虚假图片来骗您的来电!房源优势1、正规公寓。朝向.日照充足.2、现在的房子相比年初近12%3、室内其它.拎包入住。二、房屋介绍1、客厅.宽敞.大方.使用率高2、卧室温馨舒适搭配心怡3、厨房设施齐全.让美味来的更加轻松三、社区配套1、环境优雅，低密度社区。2、小区绿化率高，让您感受像花园一样的家四、周边配套地理位置得天独厚，使出行更加方便，节省时间
中海国际公馆 一室精装东西齐全 拎包入住,1室0厅1卫,整租,37,南北,低层 / 33层,市中,中海国际社区中海国际公馆,市中鲁能领秀城 - 九曲庄路,1100,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",中海C3公寓地块，目前楼下有两家诊所均已开业，新开业一家大型超市“京东购物超市”，满足您平时的生活购物，小区对面即是中海大型菜市场“环宇坊
实拍！三户合租带厨房电梯房有暖气，通风好，年底急租勿砍价谢谢,3室1厅1卫,合租 - 次卧,22,南,高层 / 6层,历下,银座花园,历下旅游路 - 转山西路7号,550,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子，南北通透，空气流通，阳光充足。精致装修，温馨周到，中间楼层，比楼上的住户更接近风景，比楼下的邻居更感惬意。2、交通便利，楼下就有多条公交路线穿过，几就能到达口。3、周边配套设施齐全，超市、银行、医院、，一应俱全，满足您的生活所需。4、房屋精装修，家电齐全，可拎包入住。
